market,channel,region,category,subcategory,brand,variant,packtype,ppg,packsize,salesvalue,d1,volume,pool_key,pool_combinations
UK,Tesco,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Small Multi,AllPackSize,1.7,0.196459626,0.6,channel_Tesco,"Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_Standard_HEINZ_Standard, Tesco_Small_SNAP_POTS_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_BRANSTON, Tesco_Small_Single_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_Private_Label_Std, Tesco_Small_Single_Standard_Restofcategory, Tesco_Standard_Multi_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_BRANSTON, Tesco_Standard_Single_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_Private_Label_Std, Tesco_Standard_Single_Standard_Private_Label_Value"
UK,Tesco,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Small Multi,AllPackSize,3.4,0.412670274,1.2,channel_Tesco,"Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_Standard_HEINZ_Standard, Tesco_Small_SNAP_POTS_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_BRANSTON, Tesco_Small_Single_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_Private_Label_Std, Tesco_Small_Single_Standard_Restofcategory, Tesco_Standard_Multi_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_BRANSTON, Tesco_Standard_Single_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_Private_Label_Std, Tesco_Standard_Single_Standard_Private_Label_Value"
UK,Tesco,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Small Multi,AllPackSize,0.85,0.10839807,0.6,channel_Tesco,"Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_Standard_HEINZ_Standard, Tesco_Small_SNAP_POTS_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_BRANSTON, Tesco_Small_Single_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_Private_Label_Std, Tesco_Small_Single_Standard_Restofcategory, Tesco_Standard_Multi_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_BRANSTON, Tesco_Standard_Single_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_Private_Label_Std, Tesco_Standard_Single_Standard_Private_Label_Value"
UK,Tesco,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Small Multi,AllPackSize,1.7,0.119077233,0.6,channel_Tesco,"Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_Standard_HEINZ_Standard, Tesco_Small_SNAP_POTS_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_BRANSTON, Tesco_Small_Single_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_Private_Label_Std, Tesco_Small_Single_Standard_Restofcategory, Tesco_Standard_Multi_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_BRANSTON, Tesco_Standard_Single_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_Private_Label_Std, Tesco_Standard_Single_Standard_Private_Label_Value"
UK,Tesco,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Small Multi,AllPackSize,1.7,0.026202076,0.6,channel_Tesco,"Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_Standard_HEINZ_Standard, Tesco_Small_SNAP_POTS_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_BRANSTON, Tesco_Small_Single_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_Private_Label_Std, Tesco_Small_Single_Standard_Restofcategory, Tesco_Standard_Multi_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_BRANSTON, Tesco_Standard_Single_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_Private_Label_Std, Tesco_Standard_Single_Standard_Private_Label_Value"
UK,Tesco,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Small Multi,AllPackSize,76699.84,80.93782443,30651.0,channel_Tesco,"Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_Standard_HEINZ_Standard, Tesco_Small_SNAP_POTS_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_BRANSTON, Tesco_Small_Single_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_Private_Label_Std, Tesco_Small_Single_Standard_Restofcategory, Tesco_Standard_Multi_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_BRANSTON, Tesco_Standard_Single_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_Private_Label_Std, Tesco_Standard_Single_Standard_Private_Label_Value"
UK,Tesco,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Small Multi,AllPackSize,83088.17,80.10966311,33201.6,channel_Tesco,"Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_Standard_HEINZ_Standard, Tesco_Small_SNAP_POTS_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_BRANSTON, Tesco_Small_Single_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_Private_Label_Std, Tesco_Small_Single_Standard_Restofcategory, Tesco_Standard_Multi_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_BRANSTON, Tesco_Standard_Single_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_Private_Label_Std, Tesco_Standard_Single_Standard_Private_Label_Value"
UK,Tesco,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Small Multi,AllPackSize,66715.89,80.32299771,26658.0,channel_Tesco,"Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_Standard_HEINZ_Standard, Tesco_Small_SNAP_POTS_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_BRANSTON, Tesco_Small_Single_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_Private_Label_Std, Tesco_Small_Single_Standard_Restofcategory, Tesco_Standard_Multi_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_BRANSTON, Tesco_Standard_Single_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_Private_Label_Std, Tesco_Standard_Single_Standard_Private_Label_Value"
UK,Tesco,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Small Multi,AllPackSize,100871.27,79.82642285,40330.2,channel_Tesco,"Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_Standard_HEINZ_Standard, Tesco_Small_SNAP_POTS_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_BRANSTON, Tesco_Small_Single_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_Private_Label_Std, Tesco_Small_Single_Standard_Restofcategory, Tesco_Standard_Multi_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_BRANSTON, Tesco_Standard_Single_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_Private_Label_Std, Tesco_Standard_Single_Standard_Private_Label_Value"
UK,Tesco,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Small Multi,AllPackSize,56427.94,79.05029554,22540.2,channel_Tesco,"Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_Standard_HEINZ_Standard, Tesco_Small_SNAP_POTS_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_BRANSTON, Tesco_Small_Single_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_Private_Label_Std, Tesco_Small_Single_Standard_Restofcategory, Tesco_Standard_Multi_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_BRANSTON, Tesco_Standard_Single_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_Private_Label_Std, Tesco_Standard_Single_Standard_Private_Label_Value"
